Date,Time
01-07-2014,12:00:00 AM
01-07-2014,12:01:00 AM
01-07-2014,12:01:00 AM
01-07-2014,12:01:00 AM
01-07-2014,12:02:00 AM
01-07-2014,12:12:00 AM
01-07-2014,12:18:00 AM
01-07-2014,12:22:00 AM
01-07-2014,12:24:00 AM
01-07-2014,12:24:00 AM
01-07-2014,12:30:00 AM
01-07-2014,12:33:00 AM
01-07-2014,12:44:00 AM
01-07-2014,12:50:00 AM
01-07-2014,1:00:00 AM
01-07-2014,1:04:00 AM
01-07-2014,1:16:00 AM
01-07-2014,1:21:00 AM
01-07-2014,1:33:00 AM
01-07-2014,1:33:00 AM
01-07-2014,1:39:00 AM
01-07-2014,1:43:00 AM
01-07-2014,1:58:00 AM
01-07-2014,2:16:00 AM
01-07-2014,2:16:00 AM
01-07-2014,2:36:00 AM
01-07-2014,2:53:00 AM
01-07-2014,3:03:00 AM
01-07-2014,3:04:00 AM
01-07-2014,3:04:00 AM
01-07-2014,3:25:00 AM
01-07-2014,3:30:00 AM
01-07-2014,3:43:00 AM
01-07-2014,3:48:00 AM
01-07-2014,3:49:00 AM
01-07-2014,4:04:00 AM
01-07-2014,4:05:00 AM
01-07-2014,4:06:00 AM
01-07-2014,4:07:00 AM
01-07-2014,4:24:00 AM
01-07-2014,4:25:00 AM
01-07-2014,4:30:00 AM
01-07-2014,4:38:00 AM
01-07-2014,4:41:00 AM
01-07-2014,4:46:00 AM
01-07-2014,4:48:00 AM
01-07-2014,4:52:00 AM
01-07-2014,4:53:00 AM
01-07-2014,4:54:00 AM
01-07-2014,4:59:00 AM
01-07-2014,5:00:00 AM
01-07-2014,5:25:00 AM
01-07-2014,5:33:00 AM
01-07-2014,5:36:00 AM
01-07-2014,5:40:00 AM
01-07-2014,5:40:00 AM
01-07-2014,5:41:00 AM
01-07-2014,5:44:00 AM
01-07-2014,5:44:00 AM
01-07-2014,6:02:00 AM
01-07-2014,6:10:00 AM
01-07-2014,6:12:00 AM
01-07-2014,6:19:00 AM
01-07-2014,6:20:00 AM
01-07-2014,6:21:00 AM
01-07-2014,6:24:00 AM
01-07-2014,6:45:00 AM
01-07-2014,7:00:00 AM
01-07-2014,7:08:00 AM
01-07-2014,7:11:00 AM
01-07-2014,7:14:00 AM
01-07-2014,7:17:00 AM
01-07-2014,7:18:00 AM
01-07-2014,7:24:00 AM
01-07-2014,7:28:00 AM
01-07-2014,7:32:00 AM
01-07-2014,7:37:00 AM
01-07-2014,7:38:00 AM
01-07-2014,7:43:00 AM
01-07-2014,7:44:00 AM
01-07-2014,7:48:00 AM
01-07-2014,7:49:00 AM
01-07-2014,7:57:00 AM
01-07-2014,7:57:00 AM
01-07-2014,7:59:00 AM
01-07-2014,8:04:00 AM
01-07-2014,8:05:00 AM
01-07-2014,8:11:00 AM
01-07-2014,8:18:00 AM
01-07-2014,8:20:00 AM
01-07-2014,8:24:00 AM
01-07-2014,8:26:00 AM
01-07-2014,8:27:00 AM
